"rank","itemUrl","itemTitle","author","description","genres","genrecount"
"11","/book/show/370493.The_Giving_Tree","The Giving Tree","Shel Silverstein","""Once there was a tree...and she loved a little boy.""So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein.Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tr
  ""Once there was a tree...and she loved a little boy.""So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein.Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave.This is a tender story, touched with sadness, aglow with consolation. Shel Silverstein has created a moving parable for readers of all ages that offers an affecting interpretation of the gift of giving and a serene acceptance of another's capacity to love in return.
  ...more","/genres/childrens;/genres/classics;/genres/picture-books;/genres/fiction;/genres/poetry;/genres/young-adult;/genres/fantasy;/genres/juvenile;/genres/kids;/genres/inspirational","3,297 users;1,834 users;1,826 users;1,753 users;1,363 users;435 users;211 users;180 users;149 users;109 users"
"12","/book/show/11870085-the-fault-in-our-stars","The Fault in Our Stars","John Green","There is an alternate cover edition here.""I fell in love the way you fall asleep: slowly, then all at once.""Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Haz
  There is an alternate cover edition here.""I fell in love the way you fall asleep: slowly, then all at once.""Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.'Electric . . . Filled with staccato bursts of humor and tragedy'- Jodi Picoult 'A novel of life and death and the people caught in between, The Fault in Our Stars is John Green at his best. You laugh, you cry, and then you come back for more'- Markus Zusak, author of The Book Thief
  ...more","/genres/young-adult;/genres/fiction;/genres/romance;/genres/contemporary;/genres/realistic-fiction;/genres/teen;/genres/coming-of-age;/genres/death;/genres/love;/genres/drama","16,519 users;7,750 users;7,516 users;4,892 users;2,203 users;1,167 users;845 users;841 users;758 users;756 users"
"13","/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set","J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","J.R.R. Tolkien","This four volume, deluxe paperback boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord Of The Rings (The Fellowship Of The Ring, The Two Towers, and The Return Of The King) in their definitive text settings complete with maps and cover illustrations from the motion pictures. In The Hobbit, Bilbo Baggins is whisked away from his
  This four volume, deluxe paperback boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord Of The Rings (The Fellowship Of The Ring, The Two Towers, and The Return Of The King) in their definitive text settings complete with maps and cover illustrations from the motion pictures. In The Hobbit, Bilbo Baggins is whisked away from his comfortable, unambitious life in Hobbiton by the wizard Gandalf and a company of dwarves. He finds himself caught up in a plot to raid the treasure hoard of Smaug the Magnificent, The Lord Of The Rings tells of the great and dangerous quest undertaken by Frodo Baggins and the Fellowship of the Ring: Gandalf the wizard; the hobbits Merry, Pippin, and Sam; Gimli the dwarf; Legolas the elf; Boromir of Gondor; and a tall, mysterious stranger called Strider. J.R.R. Tolkien's three volume masterpiece is at once a classic myth and a modern fairy tale - a story of high and heroic adventure set in the unforgettable landscape of Middle-Earth.
  ...more","/genres/fiction;/genres/classics;/genres/adventure;/genres/science-fiction-fantasy;/genres/fantasy;/genres/epic-fantasy;/genres/young-adult;/genres/high-fantasy;/genres/magic;/genres/epic","300 users;104 users;94 users;93 users;74 users;71 users;47 users;45 users;38 users;35 users"
"14","/book/show/6185.Wuthering_Heights","Wuthering Heights","Emily Brontë","Wuthering Heights is a wild, passionate story of the intense and almost demonic love between Catherine Earnshaw and Heathcliff, a foundling adopted by Catherine's father. After Mr Earnshaw's death, Heathcliff is bullied and humiliated by Catherine's brother Hindley and wrongly believing that his love for Catherine is not reciprocated, leaves Wuthering Heights, only to retu
  Wuthering Heights is a wild, passionate story of the intense and almost demonic love between Catherine Earnshaw and Heathcliff, a foundling adopted by Catherine's father. After Mr Earnshaw's death, Heathcliff is bullied and humiliated by Catherine's brother Hindley and wrongly believing that his love for Catherine is not reciprocated, leaves Wuthering Heights, only to return years later as a wealthy and polished man. He proceeds to exact a terrible revenge for his former miseries. The action of the story is chaotic and unremittingly violent, but the accomplished handling of a complex structure, the evocative descriptions of the lonely moorland setting and the poetic grandeur of vision combine to make this unique novel a masterpiece of English literature.
  ...more","/genres/fiction;/genres/classics;/genres/romance;/genres/literature;/genres/gothic;/genres/historical-fiction;/genres/19th-century;/genres/classic-literature;/genres/historical;/genres/british-literature","6,566 users;3,871 users;3,541 users;1,428 users;1,315 users;1,136 users;752 users;699 users;625 users;603 users"
"15","/book/show/968.The_Da_Vinci_Code","The Da Vinci Code (Robert Langdon, #2)","Dan Brown","An ingenious code hidden in the works of Leonardo da Vinci. A desperate race through the cathedrals and castles of Europe. An astonishing truth concealed for centuries . . . unveiled at last.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body
  An ingenious code hidden in the works of Leonardo da Vinci. A desperate race through the cathedrals and castles of Europe. An astonishing truth concealed for centuries . . . unveiled at last.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever.
  ...more","/genres/fiction;/genres/mystery;/genres/thriller;/genres/suspense;/genres/historical-fiction","13,389 users;7,542 users;5,205 users;1,486 users;1,371 users"
"16","/book/show/930.Memoirs_of_a_Geisha","Memoirs of a Geisha","Arthur Golden","A literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.In Memoirs of a Geisha, we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most pow
  A literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.In Memoirs of a Geisha, we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction - at once romantic, erotic, suspenseful - and completely unforgettable.
  ...more","/genres/fiction;/genres/historical-fiction;/genres/romance;/genres/historical;/genres/japan;/genres/classics","7,878 users;6,989 users;1,726 users;1,678 users;1,233 users;1,152 users"
"17","/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass","Alice's Adventures in Wonderland & Through the Looking-Glass","Lewis Carroll;John Tenniel;Martin Gardner","Weary of her storybook, one ""without pictures or conversations,"" the young and imaginative Alice follows a hasty hare underground--to come face-to-face with some of the strangest adventures and most fantastic characters in all of literature. The Ugly Duchess, the Mad Hatter, the weeping Mock Turtle, the diabolical Queen of Hearts, the Cheshire Cat--each more eccentric than
  Weary of her storybook, one ""without pictures or conversations,"" the young and imaginative Alice follows a hasty hare underground--to come face-to-face with some of the strangest adventures and most fantastic characters in all of literature. The Ugly Duchess, the Mad Hatter, the weeping Mock Turtle, the diabolical Queen of Hearts, the Cheshire Cat--each more eccentric than the last--could only have come from that master of sublime nonsense, Lewis Carroll. In penning this brilliant burlesque of children's literature, Carroll has written a farcical satire of rigid Victorian society, an arresting parody of the fears, anxieties, and complexities of growing up. Carroll was one of the few adult writers to successfully enter the children's world of make-believe: where the impossible becomes possible, the unreal--real, and where the height of adventure is limited only by the depths of imagination.
  ...more","/genres/classics;/genres/fantasy;/genres/fiction;/genres/childrens;/genres/young-adult","8,664 users;4,781 users;3,110 users;1,601 users;757 users"
"18","/book/show/24280.Les_Mis_rables","Les Misérables","Victor Hugo;Lee Fahnestock;Norman MacAfee","Introducing one of the most famous characters in literature, Jean Valjean—the noble peasant imprisoned for stealing a loaf of bread—Les Misérables ranks among the greatest novels of all time. In it, Victor Hugo takes readers deep into the Parisian underworld, immerses them in a battle between good and evil, and carries them to the barricades during the uprising of 1832 wit
  Introducing one of the most famous characters in literature, Jean Valjean—the noble peasant imprisoned for stealing a loaf of bread—Les Misérables ranks among the greatest novels of all time. In it, Victor Hugo takes readers deep into the Parisian underworld, immerses them in a battle between good and evil, and carries them to the barricades during the uprising of 1832 with a breathtaking realism that is unsurpassed in modern prose. Within his dramatic story are themes that capture the intellect and the emotions: crime and punishment, the relentless persecution of Valjean by Inspector Javert, the desperation of the prostitute Fantine, the amorality of the rogue Thénardier, and the universal desire to escape the prisons of our own minds. Les Misérables gave Victor Hugo a canvas upon which he portrayed his criticism of the French political and judicial systems, but the portrait that resulted is larger than life, epic in scope—an extravagant spectacle that dazzles the senses even as it touches the heart.
  ...more","/genres/classics;/genres/fiction;/genres/historical-fiction;/genres/literature","11,869 users;3,712 users;2,004 users;857 users"
"19","/book/show/13335037-divergent","Divergent (Divergent, #1)","Veronica Roth","Paperback features over fifty pages of bonus materials, including a sneak peek of Insurgent, an author Q&A, a discussion guide, a Divergent playlist, faction manifestos, and more!In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dau
  Paperback features over fifty pages of bonus materials, including a sneak peek of Insurgent, an author Q&A, a discussion guide, a Divergent playlist, faction manifestos, and more!In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really are—and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.Veronica Roth is the New York Times bestselling author of Divergent, the first in a trilogy of dystopian thrillers filled with electrifying decisions, heartbreaking betrayals, stunning consequences, and unexpected romance.
  ...more","/genres/young-adult;/genres/dystopia;/genres/fiction;/genres/fantasy;/genres/science-fiction","17,561 users;11,863 users;5,481 users;4,972 users;4,767 users"
"20","/book/show/18135.Romeo_and_Juliet","Romeo and Juliet","William Shakespeare;Robert           Jackson","In Romeo and Juliet, Shakespeare creates a world of violence and generational conflict in which two young people fall in love and die because of that love. The story is rather extraordinary in that the normal problems faced by young lovers are here so very large. It is not simply that the families of Romeo and Juliet disapprove of the lover's affection for each other; rath
  In Romeo and Juliet, Shakespeare creates a world of violence and generational conflict in which two young people fall in love and die because of that love. The story is rather extraordinary in that the normal problems faced by young lovers are here so very large. It is not simply that the families of Romeo and Juliet disapprove of the lover's affection for each other; rather, the Montagues and the Capulets are on opposite sides in a blood feud and are trying to kill each other on the streets of Verona. Every time a member of one of the two families dies in the fight, his relatives demand the blood of his killer. Because of the feud, if Romeo is discovered with Juliet by her family, he will be killed. Once Romeo is banished, the only way that Juliet can avoid being married to someone else is to take a potion that apparently kills her, so that she is burried with the bodies of her slain relatives. In this violent, death-filled world, the movement of the story from love at first sight to the union of the lovers in death seems almost inevitable.What is so striking about this play is that despite its extraordinary setting (one perhaps reflecting Elizabethan attitudes about hot-blooded Italians), it has become the quintessential story of young love. Because most young lovers feel that they have to overcome giant obstacles in order to be together, because they feel that they would rather die than be kept apart, and especially because the language Shakespeare gives his young lovers is so exquisite, allowing them to say to each other just what we would all say to a lover if we only knew how, it is easy to respond to this play as if it were about all young lovers rather than about a particular couple in a very unusual world. (When the play was rewritten in the eighteen century as The History and Fall of Caius Marius, the violent setting became that of a particularly discordant period in classical Rome; when Leonard Berstein rewrote the play as West Side Story, he chose the violent world of New York street gangs.)
  ...more","/genres/classics;/genres/plays;/genres/fiction;/genres/romance;/genres/school;/genres/drama;/genres/read-for-school;/genres/literature;/genres/high-school;/genres/poetry","20,249 users;7,438 users;4,445 users;4,052 users;2,685 users;2,536 users;1,351 users;1,227 users;840 users;822 users"
"21","/book/show/5297.The_Picture_of_Dorian_Gray","The Picture of Dorian Gray","Oscar Wilde;Jeffrey Eugenides","Introduction by Jeffrey Eugenides  Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890, but though Wilde was attacked for the novel’s corrupting inﬂuence, he
  ﻿Introduction by Jeffrey Eugenides  ﻿Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890, but though Wilde was attacked for the novel’s corrupting inﬂuence, he responded that there is, in fact, “a terrible moral in Dorian Gray.” Just a few years later, the book and the aesthetic/moral dilemma it presented became issues in the trials occasioned by Wilde’s homosexual liaisons, which resulted in his imprisonment. Of Dorian Gray’s relationship to autobiography, Wilde noted in a letter, “Basil Hallward is what I think I am: Lord Henry what the world thinks me: Dorian what I would like to be—in other ages, perhaps.”
  ...more","/genres/classics;/genres/horror;/genres/fantasy;/genres/gothic;/genres/novels;/genres/19th-century;/genres/classic-literature;/genres/british-literature;/genres/school;/genres/victorian","2,842 users;1,802 users;1,450 users;975 users;646 users;639 users;440 users;407 users;353 users;341 users"
"22","/book/show/7624.Lord_of_the_Flies","Lord of the Flies","William Golding","When a plane crashes on a remote island, a small group of schoolboys are the sole survivors. From the prophetic Simon and virtuous Ralph to the lovable Piggy and brutish Jack, each of the boys attempts to establish control as the reality - and brutal savagery - of their situation sets in.The boys' struggle to find a way of existing in a community with no fixed boundaries i
  When a plane crashes on a remote island, a small group of schoolboys are the sole survivors. From the prophetic Simon and virtuous Ralph to the lovable Piggy and brutish Jack, each of the boys attempts to establish control as the reality - and brutal savagery - of their situation sets in.The boys' struggle to find a way of existing in a community with no fixed boundaries invites readers to evaluate the concepts involved in social and political constructs and moral frameworks. Ideas of community, leadership, and the rule of law are called into question as the reader has to consider who has a right to power, why, and what the consequences of the acquisition of power may be. Often compared to Catcher in the Rye, Lord of the Flies also represents a coming-of-age story of innocence lost.
  ...more","/genres/classics;/genres/fiction;/genres/young-adult;/genres/school;/genres/literature","19,694 users;10,699 users;2,688 users;2,041 users;1,712 users"
"23","/book/show/10210.Jane_Eyre","Jane Eyre","Charlotte Brontë;Michael Mason;Charlotte Brontë","Orphaned into the household of her Aunt Reed at Gateshead and subject to the cruel regime at Lowood charity school, Jane Eyre nonetheless emerges unbroken in spirit and integrity. She takes up the post of governess at Thornfield, falls in love with Mr. Rochester, and discovers the impediment to their lawful marriage in a story that transcends melodrama to portray a woman's
  Orphaned into the household of her Aunt Reed at Gateshead and subject to the cruel regime at Lowood charity school, Jane Eyre nonetheless emerges unbroken in spirit and integrity. She takes up the post of governess at Thornfield, falls in love with Mr. Rochester, and discovers the impediment to their lawful marriage in a story that transcends melodrama to portray a woman's passionate search for a wider and richer life than Victorian society traditionally allowed.With a heroine full of yearning, the dangerous secrets she encounters, and the choices she finally makes, Charlotte Bronte's innovative and enduring romantic novel continues to engage and provoke readers.
  ...more","/genres/literature;/genres/gothic;/genres/historical;/genres/19th-century;/genres/novels;/genres/british-literature","1,587 users;1,292 users;986 users;834 users;715 users;681 users"
